char,freq
徘,429
纤,428
泣,427
返,427
丽,426
炊,426
适,425
典,425
昌,425
建,424
株,424
孔,423
芜,421
蔬,420
候,420
砚,418
舌,418
奴,418
澹,418
圃,417
禄,416
戈,416
藉,416
刺,415
挽,415
办,415
勋,415
牧,415
谪,415
庄,414
凋,413
璧,412
岚,410
兔,409
诚,409
焚,408
煮,407
置,406
末,406
厚,405
屐,404
阅,403
慵,402
涂,402
濯,402
廊,401
葛,401
蚕,401
麟,400
芽,400
予,399
娟,399
蓉,397
锄,397
网,397
仲,396
祥,396
潺,393
孰,392
灭,392
汤,392
渭,391
塔,391
局,391
兀,391
浸,390
驴,389
瑟,389
酸,389
鲸,388
街,388
耐,388
浊,387
傅,387
术,387
错,386
制,385
赊,385
热,384
委,384
障,383
槎,383
段,382
运,382
装,382
滞,382
翼,381
旁,380
邀,379
缕,379
瞻,379
摘,379
慈,378
嫩,377
纪,376
邦,376
弓,374
哭,373
缓,373
愚,373
邑,372
摧,372
康,372
己,371
材,371
橘,371
湾,370
仪,370
律,370
劫,370
镇,369
萍,369
维,368
膏,368
稍,368
跨,368
蟠,367
婆,367
单,367
弥,366
陂,366
巴,366
蟾,366
弃,365
男,365
的,364
托,364
私,364
峨,364
袅,363
凛,361
拨,361
氏,361
坚,360
幅,359
簇,359
瀛,359
牢,359
讲,359
架,358
藓,358
颓,358
俯,358
辟,358
艇,357
昭,356
芒,356
铺,356
博,355
仗,355
柔,354
缀,354
拈,353
脉,352
渴,352
假,352
猎,350
爽,350
砌,350
矶,350
扰,350
宋,349
醪,349
振,349
具,348
苗,348
鸳,347
侬,347
酿,347
烹,347
歇,345
孟,345
视,345
涵,345
败,344
魏,344
沟,343
韶,342
部,342
谒,341
虑,340
怒,340
霖,340
傲,340
瓮,339
妃,339
凿,339
较,338
垣,338
穴,338
侧,337
寐,336
疎,336
碍,336
衲,335
畦,334
侣,334
右,333
卢,333
畴,333
叫,333
值,332
优,332
默,332
鞋,331
沽,331
幻,331
既,331
凰,331
鳌,330
辱,329
遭,329
鹃,327
貂,327
戴,327
鲈,327
宰,327
或,327
乳,326
朔,326
蓝,325
篷,325
迥,324
资,324
溟,324
浴,324
慨,323
灶,323
皮,323
刚,322
闾,322
钵,322
嶂,321
瘴,321
专,321
役,321
簿,321
冈,320
线,320
牡,320
辨,319
茗,319
艰,319
峦,318
锡,318
阻,318
梯,318
超,318
筹,317
类,317
兹,317
箭,317
薇,317
朵,316
鹅,316
魄,316
搜,315
兮,315
预,315
巡,315
崔,314
习,313
旆,313
效,313
虞,312
笠,311
赵,310
宸,309
孝,309
黍,308
软,308
岫,308
逃,308
勒,308
痛,307
滑,307
盆,307
皋,306
悴,306
粗,306
洪,304
蜡,304
坠,303
稽,303
毕,303
防,302
廷,302
缨,302
钧,302
盏,302
淹,301
贾,301
季,301
保,300
澜,299
耸,299
逼,299
蚁,299
议,298
榜,298
夺,298
医,297
熙,297
权,297
宠,297
荔,297
瓢,297
袂,296
赢,295
曳,295
契,294
茂,294
促,294
闽,293
涉,293
泠,293
款,292
抵,292
旦,292
顽,291
格,291
整,291
反,291
肌,291
答,291
像,290
汲,289
位,288
呈,288
耿,288
柯,288
暝,287
筠,287
悭,287
乔,286
髯,286
范,285
混,285
辇,285
愈,285
蒸,284
逆,284
萤,284
坟,284
瓯,284
岐,284
篆,283
妻,282
校,282
菲,282
扑,281
戍,281
霓,281
裙,280
拄,280
弱,280
闱,279
衢,278
惨,278
茎,278
吊,278
包,278
熏,277
凫,277
迳,277
颂,277
萼,277
妄,276
悔,276
叔,275
闹,275
珊,274
梵,274
敛,274
希,274
召,274
琅,273
斛,273
挑,272
蛟,272
慕,272
咫,271
犀,271
抽,271
岑,271
职,270
锋,270
植,270
帷,269
娱,269
浙,269
麾,268
扃,267
棘,267
毡,267
掷,267
选,267
篮,266
庾,266
捧,266
店,266
旱,265
崇,265
禹,265
注,265
彭,265
练,265
脂,264
貌,264
盐,264
稚,264
丞,264
雏,264
哦,263
涌,263
煎,263
蕉,263
寰,263
磬,263
媚,262
榆,262
簟,262
嗔,262
犯,262
嘶,262
贱,260
鹏,260
杰,260
电,260
检,259
窟,259
藻,258
篁,258
搔,257
蜜,257
算,257
均,257
嵘,257
绪,257
苇,257
薪,257
臂,257
嵩,256
些,256
油,256
咽,256
它,256
逅,256
览,255
胆,254
峥,254
循,254
冢,254
扣,254
洁,254
邂,254
狼,252
启,252
污,251
炼,251
褐,251
斟,251
突,251
纳,251
翅,250
俄,250
瀑,250
嵬,250
泻,250
决,249
憔,249
隅,249
禾,249
豆,249
监,249
挟,248
蛙,248
彼,248
模,248
纹,248
翔,247
宛,247
缥,246
擅,246
偃,246
讶,246
羸,245
漾,245
评,245
黛,245
卫,245
檀,244
跃,244
舜,244
据,244
卑,244
匀,243
现,243
佐,243
焦,243
巫,242
仅,242
递,242
犊,242
飒,242
虏,242
板,242
粲,242
蒿,242
函,241
质,241
衙,241
耆,241
昆,240
坏,240
准,240
抚,240
剡,240
铃,239
央,239
按,238
操,238
派,238
魔,238
蔽,238
莎,237
炷,237
巨,237
谏,237
巍,237
嬉,237
卮,237
赴,236
阮,236
豹,236
斧,235
厨,235
仆,235
狐,235
滔,235
鼠,235
执,235
绶,235
蹇,235
膝,234
浇,234
握,233
智,232
涕,232
榴,232
郑,232
笺,232
妖,232
黯,231
肝,231
苹,230
棱,230
梳,230
贮,230
靖,230
戒,230
衾,230
寝,230
倩,229
绳,229
伦,228
患,228
菱,227
皎,227
损,227
鸭,227
旷,226
邮,226
钗,226
逍,225
速,225
担,225
浆,225
拳,224
充,224
滋,224
拔,224
葩,224
咸,224
坞,224
葱,224
缠,223
羲,223
秘,223
铅,222
判,222
焰,222
基,222
激,221
叩,221
玩,221
樯,221
鸠,221
墓,221
颗,221
丧,220
秧,219
仕,219
绡,219
漂,219
戟,219
豁,218
祸,218
墀,218
陋,217
设,217
僻,217
撩,216
犁,216
蛾,216
蔓,216
筒,216
砂,216
峭,216
序,216
剧,215
藕,215
骊,215
珑,214
仞,214
辔,214
椽,214
示,214
廉,214
甫,213
课,213
遽,212
啄,212
辽,212
让,211
嚼,211
裾,211
泰,211
仓,211
雉,210
潘,210
坊,210
缺,210
菰,210
垒,209
匹,209
骄,209
溅,209
荫,208
璃,208
樱,208
茸,208
屦,208
迂,208
伸,207
饼,207
襄,206
肤,206
抹,206
逾,206
涓,206
缈,205
贯,205
蹉,205
晏,205
蕙,205
勇,205
颐,204
龄,204
舂,204
锺,204
蓼,203
贼,203
轴,202
刑,202
罪,202
醅,202
授,201
鹄,201
憎,201
尖,201
尉,200
屠,200
寓,200
溶,199
债,199
晶,199
蛩,198
逋,198
皓,198
阖,198
骥,197
尹,197
娑,197
胥,197
栋,197
傥,196
莽,196
俊,196
顺,196
卒,196
芬,196
宙,195
蠹,195
柄,195
胎,195
溜,195
烈,195
鸯,194
椒,194
沼,194
擎,194
蟹,193
冕,193
砧,192
髭,192
湛,192
跻,192
贡,191
剥,191
耻,191
冤,191
释,191
荻,191
馨,191
截,191
氛,191
割,190
帖,189
册,189
琐,189
敬,189
撼,189
橐,189
朽,188
玲,188
滟,188
腥,188
隆,188
檠,188
惹,188
檄,188
銮,188
谙,188
针,187
航,187
噪,187
葵,187
碗,186
誉,186
楫,186
拘,185
告,185
撑,185
箧,185
杉,184
疲,184
萸,184
栗,184
驭,184
蔡,184
耶,184
斩,184
粥,184
恍,183
脸,183
臾,183
萋,183
捷,182
壤,182
韦,182
肃,182
焉,182
附,182
骖,182
烘,181
猜,181
颊,181
申,181
藩,181
翳,181
莓,180
籁,180
耀,180
曙,180
鲤,180
项,179
淳,179
裂,178
榭,178
攒,178
霸,178
闺,178
桧,178
漪,177
蹊,177
讯,177
筋,177
状,177
辙,177
疆,177
姬,176
做,176
卓,176
骸,176
逝,176
掠,176
樊,175
纲,174
翦,174
培,174
俎,174
跳,174
陀,173
嬾,173
拆,173
盍,173
屯,173
邪,173
劲,172
鹦,172
笳,172
匝,172
鬟,171
稼,171
嫁,171
奚,171
幢,171
熊,171
幡,171
篙,171
粒,170
猛,170
崎,170
妒,169
缚,169
额,169
魁,169
粱,169
考,169
蚤,168
眸,168
妾,168
纡,168
铸,168
揖,168
器,168
揽,167
炯,167
验,167
翘,167
吸,166
署,166
夭,166
铭,166
辜,166
飕,166
庸,165
咄,165
蝴,164
沐,164
伐,164
震,164
备,164
缄,164
窠,164
旨,163
沦,163
琢,163
吉,163
队,163
灞,163
栾,162
贞,162
庞,162
亮,162
跎,162
桡,162
敷,162
蔼,161
薜,161
萱,161
髻,160
挹,160
乏,160
晦,160
诛,160
刹,160
庚,160
橹,160
鹂,160
昂,159
泓,159
秉,159
弯,159
幄,159
啭,159
赓,159
诀,159
娘,158
颍,158
麽,158
濛,158
螺,158
勉,158
亚,157
麈,157
嘲,157
拱,157
玕,157
艺,157
茵,157
裴,157
鹰,157
隋,156
艾,156
则,156
葬,156
媒,156
琉,156
捣,156
阜,156
臭,156
隈,156
洋,156
乖,155
丑,155
辕,155
舫,155
卉,155
驹,154
峤,154
饷,154
储,154
骤,154
浣,153
墟,153
湲,153
勾,153
姚,152
鹉,152
屿,152
罍,152
舸,152
版,152
茆,151
猷,151
讵,151
奸,151
黎,151
蝇,150
漱,150
甜,150
兆,150
祭,150
赞,150
淋,150
匣,149
杵,149
攻,149
丸,149
翛,149
鸱,149
岖,149
率,149
爵,149
产,148
醾,148
茧,148
袭,148
矜,148
救,148
蕖,148
巅,148
吠,147
躯,147
掖,147
峻,147
肺,147
徵,147
颦,146
冯,146
泼,146
斫,146
蜗,146
窃,146
谱,145
葭,145
柘,145
害,145
廛,145
芋,145
胶,144
涩,144
莼,144
芭,144
捐,144
烽,144
雍,144
削,143
琶,143
吃,143
醺,143
芍,143
苕,143
涤,143
钿,143
琵,142
拖,142
警,142
婵,142
醇,142
漆,142
轧,141
曛,141
锥,141
骏,141
录,141
圭,141
箕,140
诉,140
稠,140
欤,140
沸,140
窦,140
琳,140
晕,140
喷,140
穗,140
淅,140
斤,139
阡,139
域,139
这,139
例,139
槁,139
濑,139
腐,139
隙,138
灌,138
潦,138
蕨,138
秃,138
亏,138
龛,138
忝,138
恣,138
液,137
茨,137
腴,137
耽,136
悄,136
扪,136
盗,136
绅,136
酴,136
吼,136
沿,136
楸,135
牖,135
炬,135
怆,135
躬,135
辄,135
搅,135
枣,134
蹑,134
研,134
暄,134
蛰,134
偿,134
癯,134
揭,134
仇,134
酥,134
掀,134
麝,134
擘,134
荧,133
忌,133
椿,133
镌,133
港,133
租,133
伫,132
蛛,132
囚,132
乎,132
获,132
缭,131
饵,131
沃,131
鹜,131
吕,131
濡,131
党,131
诘,131
赫,131
贝,130
嚣,130
郢,130
豚,130
挲,130
憩,129
显,129
褒,129
狎,129
灾,129
谣,129
骢,129
芹,129
祈,129
嗣,128
遁,128
眺,128
箸,128
蘋,128
讼,128
麒,128
择,128
钥,128
睹,128
箔,127
坎,127
炙,127
箨,127
狗,127
芸,127
羌,127
札,126
拭,126
粮,126
匡,126
给,126
臞,126
雌,126
豫,126
磴,125
辅,125
虬,125
呵,125
笏,125
怡,125
颁,125
毋,125
鼙,125
竺,125
妓,124
诧,124
穹,124
栈,124
掉,124
缩,124
冶,124
苞,124
桓,124
辍,124
梭,124
络,123
毂,123
唳,123
拚,123
驷,123
玑,122
甑,122
普,122
尼,122
驼,122
坦,122
窈,122
粘,122
遐,122
糁,122
肱,121
枢,121
昧,121
鸪,121
湍,121
煌,121
稷,121
惬,121
唾,121
惮,121
俸,121
互,121
谭,121
旒,120
枚,120
遨,120
彤,120
帅,120
夔,120
鸢,120
刃,120
酷,119
岘,119
徙,119
刍,119
盂,119
董,119
凶,119
渌,119
愤,119
庶,119
替,118
划,118
祀,118
癖,118
毗,118
皂,118
闷,118
冒,118
介,118
缁,118
乙,117
馥,117
翡,117
祇,117
袜,117
邱,117
旄,117
磊,117
财,116
囷,116
兽,116
瓣,116
俨,116
毒,116
竖,116
寇,116
堵,116
幼,116
袁,115
奁,115
嘘,115
瞰,115
唇,115
瞿,115
涎,114
佑,114
恙,114
配,114
楹,114
觥,114
敕,114
践,114
茱,113
誓,113
杭,113
芰,113
媿,113
族,112
栊,112
莹,112
僮,112
岷,112
霰,112
墅,112
蜕,112
垆,112
戚,112
垄,112
迫,111
抄,111
谐,111
酹,111
廓,111
勘,111
窝,111
阊,111
蕃,111
责,111
援,111
剖,110
榛,110
鹧,110
潋,110
麋,110
阆,110
慢,110
哗,109
瑚,109
概,109
奕,109
蹙,109
徽,109
萌,109
厅,109
奠,109
寡,109
聋,109
慷,109
膺,109
肆,108
麓,108
构,108
敝,108
漓,108
熳,108
賸,107
球,107
谊,107
秫,107
朗,107
窄,107
侪,107
聒,107
枰,107
帏,107
聪,106
挈,106
榼,106
蔷,106
呜,106
酲,106
昙,106
婴,105
狱,105
播,105
帛,105
蘧,105
箪,105
駸,105
组,104
汾,104
曦,104
签,104
菖,104
仿,104
矫,104
脍,104
煨,104
嵯,104
缝,104
腻,104
骇,103
滕,103
雠,103
